Rank,Hospital,Country
1455,Littleton Adventist Hospital,United States of America
1460,New York Hospital Medical Center of Queens,United States of America
1462,Western Maryland Health System,United States of America
1467,Research Medical Center Kansas City MO,United States of America
1467,Cape Fear Valley Health System,United States of America
1470,Bellin Health Systems,United States of America
1470,Guam Memorial Hospital Authority,United States of America
1472,HCA Midwest Health System Midwest.,United States of America
1474,Highline Medical Center Burien WA,United States of America
1476,Lovelace Medical Group in New Mexico,United States of America
1476,Masonicare Wallingford CT,United States of America
1480,University Hospital Newark,United States of America
1480,Michael E Debakey Va Medical Center,United States of America
1483,Medicorp Health System,United States of America
1483,Moses Cone Health System,United States of America
1487,Hebrew Rehabilitation Center,United States of America
1488,Tripler Army Medical Center,United States of America
1490,University of Toledo Medical Center,United States of America
1490,Fistula Foundation,United States of America
1490,North Memorial Health Care Robbinsdale MN,United States of America
1494,Lucile Packard Children's Hospital at Stanford CA,United States of America
1499,Brenner Children's Hospital Wake Forest Baptist Medical Center,United States of America
1502,Parkland Health & Hospital System,United States of America
1503,Avista Adventist Hospital,United States of America
1506,Mercy Medical Center of Durango,United States of America
1507,New York Methodist Hospital,United States of America
1509,Yuma Regional Medical Center Yuma Arizona Hospital,United States of America
1512,Georgia Regional Hospital at Savannah,United States of America
1514,Salinas Valley Memorial Hospital Ca,United States of America
1514,Vanderbilt Health,United States of America
1518,Salem Health,United States of America
1518,Cabell Huntington Hospital,United States of America
1523,Lewis Gale Medical Center,United States of America
1529,Woodrow Wilson Rehabilitation Center,United States of America
1529,Department of Orthopedic Oncology Washington Hospital Center,United States of America
1531,Inspira Health Network,United States of America
1539,William W Backus Hospital,United States of America
1546,Woman's Hospital of Texas,United States of America
1548,Everett Clinic,United States of America
1550,Dimensions Healthcare System,United States of America
1550,Baptist Health of Northeast Florida,United States of America
1554,Allegiance Health,United States of America
1554,Elmhurst Memorial Healthcare,United States of America
1556,Wentworth Douglass Hospital,United States of America
1557,University of Minnesota Medical Center Fairview,United States of America
1565,Franklin Community Health Network,United States of America
1566,Health Services Columbia University,United States of America
1566,Covenant Health System Lubbock Texas,United States of America
1569,Cayuga Medical Center At Ithaca,United States of America
1569,Baltimore Washington Medical Center,United States of America
1579,Larkin Community Hospital,United States of America
1579,Craig Hospital Denver,United States of America
1581,Memorial Health University Medical Center,United States of America
1583,South Shore Hospital in Weymouth Massachusetts,United States of America
1586,Department of Obstetrics and Gynecology University of Wisconsin School of Medicine and Public Health,United States of America
1586,Lakeland Regional Medical Center,United States of America
1593,Mercy,United States of America
1593,Sacred Heart Hospital on the Emerald Coast,United States of America
1596,Lenox Hill Hospital New York NY,United States of America
1598,C S Mott Children's Hospital,United States of America
1600,Jersey Shore University Medical Center,United States of America
1600,Bassett Healthcare Network,United States of America
1603,Cambirdge Health Alliance,United States of America
1605,Edward White Hospital,United States of America
1611,Mercy Medical Center North Iowa,United States of America
1613,George Washington University Hospital,United States of America
1622,Lowell General Hospital,United States of America
1625,Gulf Coast Medical Center FL,United States of America
1628,Boone Hospital Center in Columbia MO,United States of America
1634,Valley Medical Center WA,United States of America
1636,Asante Health System (Asante Ashland Community Hospital),United States of America
1636,Idaho Hospital Association,United States of America
1636,Deaconess Health System Evansville Indiana,United States of America
1642,Charleston Area Medical Center,United States of America
1643,Carroll Hospital Center,United States of America
1643,Chapel Hill Tubal Reversal Center,United States of America
1647,St Vincent's Medical Center Bridgeport Connecticut,United States of America
1650,Danbury Hospital,United States of America
1653,Rockwood Clinic,United States of America
1654,Eastern Maine Medical Center,United States of America
1654,Evergreen Healthcare WA,United States of America
1657,Lexington Medical Center,United States of America
1659,Sheridan Memorial Hospital WY,United States of America
1666,Sunrise Health Mountainview Hospital,United States of America
1667,Grady Health System,United States of America
1671,Northern Arizona Healthcare,United States of America
1672,Columbia Hospital West Palm Beach FL,United States of America
1673,Lourdes Hospital Binghamton New York,United States of America
1676,Arnot Health (Arnot Ogden Medical Center),United States of America
1680,University Of Illinois Hospital & Health Science System,United States of America
1682,Holy Name Hospital,United States of America
1688,Sunrise Hospital and Medical Center,United States of America
1689,St Anthony's Memorial Hospital,United States of America
1691,Metroplex Health System,United States of America
1693,Hospital & Healthsystem Association of Pennsylvania,United States of America
1695,Mercy Medical Center Canton Ohio,United States of America
1697,Fasthealth Corporation,United States of America
1700,Helen Hayes Hospital,United States of America
1704,Thompson Health,United States of America
1706,Southeast Georgia Heath System,United States of America
1706,Kadlec Health System,United States of America
1713,Beverly Hospital Beverly,United States of America
1713,Botsford Hospital,United States of America
1720,Houston Healthcare Complex,United States of America
1720,Kimmel Cancer Center,United States of America
1720,Miami Valley Hospital,United States of America
1723,St Marys Hospital Medical Center Madison,United States of America
1723,Touro Infirmary,United States of America
1725,J C Blair Memorial Hospital,United States of America
1725,Sinai Grace Hospital,United States of America
1732,Austin Regional Clinic,United States of America
1735,Truman Medical Centers,United States of America
1737,Texas Orthopedic Hospital,United States of America
1739,Medcentral Health System,United States of America
1742,Ogden Regional Medical Center UT,United States of America
1742,Northeast Health,United States of America
1747,Saint Clare's Health System Northwestern New Jersey,United States of America
1748,Lakeland Healthcare,United States of America
1752,Trinitas Hospital,United States of America
1755,Children's Specialized Hospital,United States of America
1758,Riverside Health Care System,United States of America
1759,Bon Secours St Francis Health System Greenville,United States of America
1760,Swedish Covenant Hospital Chicago,United States of America
1760,Centrastate Healthcare System,United States of America
1764,Alabama Hospital Association,United States of America
1776,Northbay Healthcare,United States of America
1782,Sequoia Hospital,United States of America
1786,Newton Wellesley Hospital,United States of America
1789,University of Texas Southwestern Medical Center,United States of America
1791,West Jefferson Medical Center,United States of America
1792,Mcleod Health,United States of America
1796,Mercy Health (Catholic Health Partners),United States of America
1796,Tulane Medical Center,United States of America
1798,Emerson Hospital,United States of America
1798,Edward Hines Jr Va Hospital,United States of America
1802,Harris County Hospital District,United States of America
1805,Baptist Memorial Health Care,United States of America
1810,Spaulding Rehabilitation Network (Rehabilitation Hospital of The Cape and Islands),United States of America
1810,Erlanger Hospital,United States of America
1812,Virginia Commonwealth University Massey Cancer Center,United States of America
1815,TriStar Centennial Medical Center Nashville,United States of America
1818,St Joseph Regional Medical Center South Bend IN,United States of America
1820,Tanner Health System,United States of America
1823,Hawaii Pacific Health Honolulu HI,United States of America
1827,(1)  Blessing Health System Blessing Hospital,United States of America
1831,Blanchard Valley Health System,United States of America
1831,Medical Center of Lewisville,United States of America
1831,Mercy Medical Center Dubuque & Dyersville,United States of America
1849,Finger Lakes Health,United States of America
1856,Swedishamerican Health System,United States of America
1858,St Mary Medical Center St Joseph Health System,United States of America
1862,Trinity Health Minot,United States of America
1865,Portsmouth Regional Hospital,United States of America
1865,Massachusetts Alzheimer's Disease Research Center Massachusetts General Hospital,United States of America
1870,Atlanta Medical Center,United States of America
1870,CHRISTUS Spohn Health System,United States of America
1874,Green Bay Eye Clinic,United States of America
1874,Mission Hospital St Joseph Health System,United States of America
1877,Mclean Hospital Psychiatric Hospital,United States of America
1879,St Mary's Medical Center San Francisco CA,United States of America
1879,University of Miami Health System,United States of America
1879,Columbus Regional Healthcare System,United States of America
1884,Central Peninsula General Hospital,United States of America
1885,Halifax Health,United States of America
1890,Dupage Medical Group,United States of America
1893,St Christopher's Hospital for Children,United States of America
1896,Krmc Kingman Regional Medical Center AZ,United States of America
1896,San Mateo Medical Center,United States of America
1898,University of Mississippi Healthcare,United States of America
1901,Conemaugh Health System,United States of America
1909,Doylestown Hospital,United States of America
1909,Benefis Healthcare MT,United States of America
1912,East Tennessee Children's Hospital,United States of America
1913,Olathe Health System Inc Miami County Medical Center,United States of America
1917,Harrington Memorial Hospital,United States of America
1917,(1)  Heart of The Rockies Regional Medical Center,United States of America
1919,Hill Physicians Medical Group CA,United States of America
1920,Regional Health,United States of America
1921,Medical Center of Aurora,United States of America
1924,Ellsworth County Medical Center,United States of America
1930,Aspirus Healthcare,United States of America
1934,Lake Health,United States of America
1941,Jackson Health System South Florida,United States of America
1942,Menorah Medical Center,United States of America
1944,St. Luke's Health System,United States of America
1945,St Luke‰Ûªs Cataract and Laser Institute,United States of America
1948,Texas Medical Center,United States of America
1958,Joe Dimaggio Children's Hospital,United States of America
1958,Natividad Medical Center CA,United States of America
1961,Augusta Medical Center,United States of America
1970,Pine Rest Christian Mental Health Services,United States of America
1975,Holy Redeemer Health System,United States of America
1978,Duke Children‰Ûªs Hospital & Health Center,United States of America
1980,VA Sunshine Healthcare Network,United States of America
1984,Lakeview Hospital UT,United States of America
1987,Holy Family Memorial,United States of America
1994,Southern Ohio Medical Center,United States of America
1998,Norman Regional Health System,United States of America
1998,(1)  Driscoll Children's Hospital Corpus Christi Texas,United States of America
2001,Colorado Health & Hospital Association,United States of America
2004,Healthcare at West Virginia University,United States of America
2005,Mercy Medical Center Sioux City,United States of America
2011,Washington Hospital PA,United States of America
2011,Memorial Hospital of Tampa,United States of America
2014,Mercy Hospital and Medical Center,United States of America
2016,Texas Fertility Center,United States of America
2019,Sher Institute for Reproductive Medicine,United States of America
2020,Alvarado Hospital Medical Center,United States of America
2022,Tahoe Forest Health System,United States of America
2024,Methodist Medical Center of Oak Ridge,United States of America
2024,Dominion Hospital,United States of America
2029,Meddac Evans Us Army Hospital,United States of America
2030,St Luke's Episcopal Hospital,United States of America
2032,Sisters of Providence Health Systems Mercy Medical Center,United States of America
2032,Bay Medical,United States of America
2034,Portage Health System,United States of America
2036,Bon Secours Health System,United States of America
2036,(1)  Cape Cod Healthcare,United States of America
2036,Midmichigan Health,United States of America
2041,Memorial Medical Center Modesto CA,United States of America
2041,Hcmc Hennepin County Medical Center,United States of America
2045,Watson Clinic LLP Central Florida,United States of America
2054,St Vincent Regional Medical Center,United States of America
2054,Barton Healthcare System,United States of America
2058,Cornell Urology,United States of America
2061,Melvin & Bren Simon Cancer Center Indiana University,United States of America
2065,San Antonio Military Medical Center,United States of America
2065,CentraCare Heath System (St Michael's Hospital and Nursing Home),United States of America
2065,Reston Hospital Center,United States of America
2074,Riverside County Regional Medical Center,United States of America
2075,St Dominic Jackson Memorial Hospital,United States of America
2075,(1)  Carson Tahoe Regional Healthcare NV,United States of America
2083,Overlake Hospital Medical Center WA,United States of America
2087,Exempla Healthcare SCL Health System,United States of America
2098,St Agnes Hospital Baltimore Maryland,United States of America
2101,Alaska Regional Hospital,United States of America
2102,Pocono Health System,United States of America
2105,Los Robles Hospital & Medical Center,United States of America
2105,University of Michigan Comprehensive Cancer Center,United States of America
2105,Aultman Hospital,United States of America
2108,Central Texas Medical Center,United States of America
2108,St Joseph Health System Ohio,United States of America
2112,(1)  Bon Secours Charity Health System,United States of America
2113,Erie County Medical Center Corporation,United States of America
2113,Enloe Medical Center,United States of America
2113,West Tennessee Healthcare,United States of America
2117,Agnesian Healthcare,United States of America
2117,Bozeman Deaconess Hospital,United States of America
2119,Lourdes Health System,United States of America
2120,Southeastern Regional Medical Center,United States of America
2128,Sinai Health System,United States of America
2131,Reading Health System (Reading Hospital and Medical Center),United States of America
2131,Lake City Medical Center,United States of America
2134,Midland Fertility Services,United States of America
2137,Caromont Health,United States of America
2137,Catawba Valley Medical Center,United States of America
2141,Day Kimball Hospital,United States of America
2142,Adena Health System,United States of America
2142,Palms of Pasadena Hospital,United States of America
2149,(1)  Hendrick Health System,United States of America
2149,Children's Hospital Oakland,United States of America
2151,Southern New Hampshire Medical Center,United States of America
2152,St Luke's Hospital Duluth MN,United States of America
2152,John F Kennedy Medical Center Edison NY,United States of America
2152,Good Samaritan Hospital Dayton Ohio,United States of America
2156,Valley Baptist Health System,United States of America
2159,South Nassau Communities Hospital,United States of America
2161,St Anthony's Medical Center St Louis MO,United States of America
2161,Boca Raton Regional Hospital,United States of America
2175,Las Colinas Medical Center,United States of America
2178,Pardee Hospital,United States of America
2179,Christian Hospital,United States of America
2179,Missouri Baptist Medical Center,United States of America
2192,Catholic Health Care West,United States of America
2192,Heritage Valley Health System,United States of America
2192,(1)  Ingalls Health System,United States of America
2197,Redmond Regional Medical Center,United States of America
2199,Medical Center of Plano,United States of America
2200,Midstate Medical Center,United States of America
2203,Iasis Healthcare,United States of America
2203,Citrus Memorial Health System Inverness FL,United States of America
2207,Memorial Health Care System,United States of America
2207,Bon Secours Richmond Complete Health,United States of America
2212,Good Samaritan Hospital Los Angeles CA,United States of America
2212,Good Shepherd Medical Center Longview Texas,United States of America
2212,Neurological Surgery Department and Neurology Department of Hattiesburg Clinic,United States of America
2212,Baptist Health Central Alabama's healthcare,United States of America
2216,Mount Sinai Hospital of Queens New York City,United States of America
2219,Sutter Roseville Medical Center,United States of America
2224,St Jude Medical Center,United States of America
2224,Summit Health Chambersburg Hospital Waynesboro Hospital,United States of America
2224,Saint Peter's Healthcare System,United States of America
2224,St Joseph Mercy Port Huron Ann Arbor,United States of America
2229,St Peter's Hospital Helena Montana,United States of America
2234,St Thomas More Hospital,United States of America
2237,Bayshore Medical Center,United States of America
2239,Onslow Memorial Hospital,United States of America
2241,Medical Center of Louisiana At New Orleans,United States of America
2244,Appalachian Regional Healthcare System Boone NC,United States of America
2247,Jewish Hospital & St Mary's Healthcare,United States of America
2251,Spartanburg Regional Healthcare System,United States of America
2252,Virginia Hospital Center Arlington,United States of America
2253,Frankfort Regional Medical Center,United States of America
2256,Billings Clinic MT,United States of America
2257,Raritan Bay Medical Center,United States of America
2261,Memorial Hospital and Health Care Center,United States of America
2264,Mid Coast Health Services & Mid Coast Hospital,United States of America
2266,Princeton Healthcare System,United States of America
2268,University Medical Center Health System Hospital Lubbock Texas,United States of America
2268,Dearborn County Hospital,United States of America
2270,Twin Cities Hospital Niceville FL,United States of America
2272,American Family Children's Hospital UW Health,United States of America
2274,Maxim Healthcare Services,United States of America
2276,Conroe Regional Medical Center,United States of America
2276,Evansville Cancer Center,United States of America
2282,Appalachian Regional Healthcare Virginia,United States of America
2285,Good Shepherd Rehabilitation Network,United States of America
2286,Lrghealthcare Lakes Region General Hospital and Franklin Regional Hospital,United States of America
2297,Southampton Hospital NY,United States of America
2297,UT Health Northeast (University of Texas Health Center at Tyler),United States of America
2306,Pacific Fertility Center,United States of America
2307,St Vincent's Health System Birmingham AL,United States of America
2309,Catholic Medical Center,United States of America
2310,Christie Clinic,United States of America
2310,Lake Regional Health System,United States of America
2310,Oregon Association of Hospitals and Health Systems,United States of America
2318,New London Hospital,United States of America
2320,Memorial Hospital at Gulfport,United States of America
2326,Mount Sinai Medical Center Miami Beach Florida,United States of America
2330,Rice Memorial Hospital,United States of America
2330,Cardiovascular Institute of the South Houma,United States of America
2334,21st Century Oncology Radiation Therapy Services Inc.,United States of America
2334,(1)  Huntsville Hospital,United States of America
2337,Children's Hospital at Montefiore,United States of America
2337,Turtle Hospital,United States of America
2345,Perry Memorial Hospital Princeton Illinois,United States of America
2348,Mercy Health Saint Mary's Health Care,United States of America
2354,Anderson Area Medical Center,United States of America
2354,Baptist Hospital East,United States of America
2362,Floyd Medical Center,United States of America
2362,Saint Francis Medical Center Cape Girardeau MO,United States of America
2365,Sacred Heart Hospital PA,United States of America
2369,Hospital for Special Care,United States of America
2369,Saint Francis Meorial Hospital,United States of America
2369,Ludwig Cancer Research,United States of America
2375,Forrest General Hospital (Walthall County General Hospital),United States of America
2376,Womack Army Medical Center,United States of America
2379,Norwalk Hospital,United States of America
2383,University of Minnesota Children‰Ûªs Hospital,United States of America
2386,UCSF Department of Urology,United States of America
2389,Kalispell Regional Healthcare Medical Services,United States of America
2389,Aspirus Keweenaw Hospital,United States of America
2389,Carl R Darnall Army Medical Center,United States of America
2405,San Antonio Community Hospital,United States of America
2407,(1)  Harrison Medical Center WA,United States of America
2409,Select Medical Corporation NV,United States of America
2412,Wheaton Franciscan Health Care,United States of America
2412,University Medical Center of Southern Nevada in Las Vegas,United States of America
2418,Menninger Clinic,United States of America
2420,Faith Regional Health Services Norfolk Nebraska,United States of America
2420,Orange Park Medical Center,United States of America
2423,CHI Health,United States of America
2428,Health Affairs University of California,United States of America
2428,MUSC Children's Hospital Charleston,United States of America
2431,Brattleboro Memorial Hospital Vermont,United States of America
2431,Central Utah Clinic,United States of America
2431,Washington DC Veterans Affairs Medical Center,United States of America
2434,Medical Center Bowling Green KY,United States of America
2436,Mount Desert Island Hospital ME,United States of America
2440,Iowa Clinic,United States of America
2443,Citrus Valley Health Partners,United States of America
2444,Children's Heart Center NV,United States of America
2444,Clear Lake Regional Medical Center,United States of America
2444,Windham Community Memorial Hospital,United States of America
2444,Gateway Regional Medical Center Granite City IL,United States of America
2454,Williamson Medical Center Franklin TN,United States of America
2454,Olympic Medical Center WA,United States of America
2457,St Clair Hospital Pittsburgh PA,United States of America
2458,Big Sandy Medical Center MT,United States of America
2458,(1)  CHRISTUS Hospital,United States of America
2463,Hardin Memorial Hospital Kentucky,United States of America
2463,Capital Health System,United States of America
2463,Cartersville Medical Center,United States of America
2474,Georgetown Hospital System,United States of America
2474,Health Quest System,United States of America
2474,Winona Health Health Care,United States of America
2478,Clark Memorial Hospital,United States of America
2478,Gaylord Hospital,United States of America
2481,Sacred Heart Hospital Eau Claire WI,United States of America
2483,Beaufort Memorial Hospital,United States of America
2487,South Georgia Medical Center,United States of America
2487,Baptist Health System Birmingham Alabama,United States of America
2490,Riverside Medical Clinic,United States of America
2495,Southern Illinois Healthcare,United States of America
2501,Southwest General Health Center,United States of America
2501,Phelps Memorial Hospital Center,United States of America
2504,North Shore Medical Center Salem Massachusetts,United States of America
2504,Washington County Health System,United States of America
2508,Mercy Health System Conshohocken PA,United States of America
2508,Columbus Regional Hospital IN,United States of America
2513,Veterans Affairs Maryland Health Care System,United States of America
2513,St Elizabeth Medical Center Utica New York,United States of America
2513,Southwestern Vermont Health Care,United States of America
2513,Montana Hospitals and Medical Centers,United States of America
2519,East Jefferson General Hospital,United States of America
2519,Mercy Health Partners Muskegon,United States of America
2525,Sun Health Corporation,United States of America
2527,Lakeview Health,United States of America
2539,Canton Postdam Hospital,United States of America
2539,Salina Regional Health Center,United States of America
2545,Grand View Hospital,United States of America
2548,Alice Peck Day Memorial Hospital,United States of America
2549,Lexington Clinic,United States of America
2549,Fountain Valley Regional Hospital and Medical Center CA,United States of America
2552,Deborah Heart and Lung Center,United States of America
2552,Rockefeller University Hospital,United States of America
2552,Southern Hills Hospital & Medical Center Southwest Las Vegas,United States of America
2555,St Mary's Kids St Mary's Healthcare System for Children,United States of America
2557,St Alexius Medical Center Hospital and Health Care,United States of America
2561,Shriners Hospitals for Children,United States of America
2564,Alliance Community Hospital,United States of America
2564,Marshall Medical Placerville CA,United States of America
2564,Mason General Hospital WA,United States of America
2568,Sutter Medical Center of Santa Rosa,United States of America
2568,TriStar Skyline (Skyline Medical Center Nashville),United States of America
2574,Magee Rehabilitation Hospital,United States of America
2574,Faxton St Luke‰Ûªs Healthcare,United States of America
2577,Riverside Community Hospital,United States of America
2579,Skiff Medical Center,United States of America
2579,New Glens Falls Hospital,United States of America
2583,Mary Bird Perkins Cancer Center,United States of America
2585,Corpus Christi Medical Center,United States of America
2589,Children's Hospital of Illinois,United States of America
2589,Lifepoint Hospitals Inc UT,United States of America
2589,York Hospital,United States of America
2594,(1)  Self Regional Healthcare,United States of America
2595,Holyoke Medical Center,United States of America
2597,Anna Jaques Hospital,United States of America
2599,Aiken Regional Medical Centers,United States of America
2605,Sanford Health,United States of America
2606,Memorial Hospital of Rhode Island,United States of America
2608,Blue Ridge Healthcare,United States of America
2615,Reliant Medical Group (Fallon Clinic),United States of America
2615,Susquehanna Health System,United States of America
2618,University of Florida Health Jacksonville,United States of America
2621,St Vincent Hospital Green Bay Wisconsin,United States of America
2627,Las Palmas Del Sol HealthCare,United States of America
2630,United Health Services,United States of America
2634,Cascade Healthcare Community,United States of America
2639,Duke Raleigh Hospital,United States of America
2643,Silver Cross Hospital and Medical Centers,United States of America
2650,Island Hospital WA,United States of America
2655,Chinese Hospital of San Francisco,United States of America
2655,Nash Health Care Systems,United States of America
2661,Ridgeview Institute,United States of America
2661,St John's Medical Center,United States of America
2664,Sheppard Pratt Health System,United States of America
2664,St Mary's Medical Center Huntington WV,United States of America
2667,Calvary Hospital,United States of America
2667,Carle Clinic,United States of America
2667,Community Hospital of The Monterey Peninsula,United States of America
2673,Bartlett Regional Hospital,United States of America
2681,Carondelet Health Kansas City and Blue Springs,United States of America
2684,Delray Medical Center,United States of America
2686,Fhn Family Healthcare Center,United States of America
2686,TriStar StoneCrest Medical Center,United States of America
2700,Valley View Hospital Glenwood Springs CO,United States of America
2704,Fremont Area Medical Center,United States of America
2704,LHC Group,United States of America
2708,Robert Wood Johnson University Hospital Hamilton,United States of America
2708,Children's Hospital & Research Center Oakland Foundation,United States of America
2711,Lutheran Health Network,United States of America
2712,Lawrence Memorial Hospital,United States of America
2712,Indian River Medical Center Vero Beach Florida,United States of America
2716,Mendocino Coast District Hospital,United States of America
2719,Altru Health System,United States of America
2720,Delta Regional Medical Center Greenville MS,United States of America
2720,Lakeview Regional Medical Center,United States of America
2722,La Rabida Children's Hospital,United States of America
2722,West Valley Medical Center ID,United States of America
2722,Hudson Hospital,United States of America
2726,Bon Secours Hampton Roads Health System,United States of America
2728,Pacific Medical Centers,United States of America
2734,Spalding Rehabilitation Hospital,United States of America
2736,Shady Grove Fertility Center,United States of America
2741,Wenatchee Valley Medical Center,United States of America
2744,White River Junction Va Medical Center,United States of America
2750,Gifford Medical Center,United States of America
2753,Tennova Healthcare,United States of America
2756,Crittenton Hospital Medical Center,United States of America
2757,Union Hospital Dover OH,United States of America
2762,North Suburban Medical Center,United States of America
2770,St Joseph's Healthcare System NJ,United States of America
2770,Women's and Children's Hospital Lafayette LA,United States of America
2773,Jefferson Regional Medical Center Jefferson County,United States of America
2773,Butler Health System Butler Memorial Hospital,United States of America
2779,St Francis Health Center,United States of America
2779,St Mary's of Michigan,United States of America
2779,Radiology Department of Riley Hospital Indiana University Radiology,United States of America
2782,Capital Region Medical Center,United States of America
2787,Medical Center of Arlington,United States of America
2787,(1)  Nebraska Heart Institute,United States of America
2787,Upper Valley Medical Center,United States of America
2793,West Hills Hospital and Medical Center,United States of America
2800,Samaritan Health System,United States of America
2801,Atrium Medical Center,United States of America
2808,Decatur Memorial Hospital Decatur Illinois,United States of America
2810,Hospitals Philadelphia Aria Health,United States of America
2812,Citizens Memorial Healthcare,United States of America
2816,Capital Medical Center WA,United States of America
2816,Texas Tech Physicians,United States of America
2821,Martin Health System,United States of America
2821,(1)  St Francis Hospital The Heart Center,United States of America
2821,Barnes Jewish St Peters Hospital,United States of America
2829,Lafayette Regional Health Center Lexington MO,United States of America
2829,Hospice of Palm Beach County,United States of America
2831,Concord Hospital New Hampshire,United States of America
2836,St Nicholas Hospital Sheboygan,United States of America
2836,Harbin Clinic,United States of America
2842,Hudson Valley Hospital Center,United States of America
2847,St Elizabeth's Hospital Belleville,United States of America
2850,Holy Spirit Health System,United States of America
2856,(1)  Nassau University Medical Center Nassau Health Care Corporation,United States of America
2857,ValleyCare Health System,United States of America
2862,Austen Riggs Center,United States of America
2862,Brattleboro Retreat Healthcare,United States of America
2862,St Louis University Hospital,United States of America
2867,St Vincent's Health System Jacksonville Fl,United States of America
2869,Kingwood Medical Center,United States of America
2869,Henry Mayo Newhall Memorial Hospital,United States of America
2880,North Kansas City Hospital,United States of America
2888,Brookhaven Hospital,United States of America
2889,Baton Rouge General Medical Center,United States of America
2891,Veterans Affairs San Diego Healthcare System,United States of America
2894,Ellis Hospital Schenectady New York,United States of America
2898,St. Joseph Mercy Chelsea,United States of America
2898,Southside Regional Medical Center,United States of America
2903,Central State Hospital Georgia,United States of America
2903,Great River Health Systems West Burlington Iowa,United States of America
2903,Schuylkill Health,United States of America
2913,(1)  Blount Memorial Hospital,United States of America
2913,Jamaica Hospital Medical Center,United States of America
2913,Trinity Senior Living Communities - Sanctuary at St Joseph‰Ûªs,United States of America
2917,West Boca Medical Center,United States of America
2917,Huntington Memorial Hospital,United States of America
2921,Methodist Hospitals Gary IN,United States of America
2921,Yakima Valley Memorial Hospital,United States of America
2926,Rapides Regional Medical Center,United States of America
2930,West Suburban Medical Center,United States of America
2930,Wolfson Children's Hospital,United States of America
2933,Midland Memorial Hospital,United States of America
2940,Antelope Valley Hospital,United States of America
2942,Community Health Center of Branch County,United States of America
2946,Yavapai Regional Medical Center,United States of America
2948,Community Memorial Health System Ventura,United States of America
2950,Umass Memorial Health Care,United States of America
2950,Yampa Valley Medical Center,United States of America
2954,Berger Health System,United States of America
2959,Medical Center of Mckinney,United States of America
2960,Sutter Auburn Faith Hospital,United States of America
2967,Health Alliance Kingston Hospital,United States of America
2969,Nantucket Cottage Hospital,United States of America
2971,Marin General Hospital,United States of America
2971,Denton Regional Medical Center,United States of America
2974,Crotched Mountain,United States of America
2976,Franciscan Missionaries of Our Lady Health System,United States of America
2979,Huron Valley Sinai Hospital,United States of America
2981,Huntington Reproductive Center,United States of America
2988,San Juan Regional Medical Center,United States of America
2988,Bingham Memorial Hospital OR,United States of America
2991,Delnor Community Health System,United States of America
2995,King's Daughters Medical Center Ashland KY,United States of America
2995,Kittitas Valley Healthcare,United States of America
2995,St Anthony Hospital Oklahoma City Oklahoma,United States of America
3001,Rush Copley Medical Center,United States of America
3013,Lancaster Regional Medical Center,United States of America
3013,Cancer Research Center of Hawaii,United States of America
3013,South Texas Veterans Health Care System,United States of America
3019,Orange Regional Medical Center,United States of America
3020,Regional West Medical Center,United States of America
3020,Miles Health Care,United States of America
3020,Crozer Keystone Health System,United States of America
3026,Martha Jefferson Hospital,United States of America
3026,Mercy Medical Center Cedar Rapids,United States of America
3032,Kessler Institute for Rehabilitation,United States of America
3032,Lane Regional Medical Center,United States of America
3035,University of Pittsburgh Cancer Institute UPMC Cancer Centers,United States of America
3038,Kishhealth System,United States of America
3040,Johnston Health Johnston County Hospital,United States of America
3040,Sonoma Valley Hospital,United States of America
3040,Fairfield Medical Center,United States of America
3040,Sankara Eye Foundation,United States of America
3048,Memorial Health System Memorial Medical Center Springfield,United States of America
3048,Queen's Medical Center,United States of America
3052,Health Central Hospital,United States of America
3054,Hahnemann University Hospital,United States of America
3056,Northcrest Medical Center,United States of America
3056,CarePoint Health,United States of America
3060,Wyoming Hospital Association,United States of America
3065,Bayshore Community Health Services,United States of America
3065,North Valley Hospital Whitefish Montana,United States of America
3077,(1)  Our Lady of Bellefonte Hospital,United States of America
3077,ValleyCare Health System of Ohio,United States of America
3081,Cancer Therapy & Research Center,United States of America
3081,Wyoming Medical Center,United States of America
3085,Evangelical Community Hospital,United States of America
3090,Mary Greeley Medical Center,United States of America
3091,University Behavioral Healthcare,United States of America
3094,Flagler Hospital St Augustine,United States of America
3095,Providence Healthcare Network,United States of America
3095,Southern Maine Health Care,United States of America
3095,Nanticoke Memorial Hospital,United States of America
3105,Thompson Cancer Survival Center,United States of America
3105,CapitalCare Medical Group,United States of America
3111,Alton Memorial Hospital,United States of America
3111,Glacial Ridge Health System,United States of America
3118,Chesapeake Urology Associates Maryland,United States of America
3119,Arbour Health System,United States of America
3119,St Joseph Health System Sonoma County,United States of America
3119,Emanuel Medical Center,United States of America
3119,Frisbie Memorial Hospital Rochester NH,United States of America
3123,Firelands Regional Medical Center,United States of America
3123,St Luke's Community Medical Center The Woodlands,United States of America
3129,Salina Clinic,United States of America
3129,Mt Washington Pediatric Hospital,United States of America
3129,Cny Fertility Center,United States of America
3133,Barnes Jewish West County Hospital,United States of America
3133,United Hospital Center,United States of America
3136,Emory Eastside Medical Center,United States of America
3138,Cardinal Hill Healthcare System,United States of America
3140,Madigan Army Medical Center,United States of America
3143,Children's Institute Pittsburgh PA,United States of America
3151,Baptist Healthcare System Louisville KY,United States of America
3160,Randolph Hospital Asheboro NC,United States of America
3160,ArchCare (Terence Cardinal Cooke Health Care Center),United States of America
